Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,6.849992301770592,1299.0,0.0,8898.14,0.0,1293.0,8871.19,6.0,26.95,106.81,8764.38,433,0,0,0,0,0,0,0
,,,BREAKFAST,,,,,13.695882352941178,34.0,0.02617397998460354,465.66,0.052332285174204955,34.0,465.66,0.0,0.00,2.00,463.66,31,0.07159353348729793,0,0,0.026295436968290797,0,0,0.052902772358113186
100000005573120702,100000005573120701,,BREAKFAST,BREAKFAST,,,,13.70,34.0,1.0,465.66,1.0,34.0,465.66,0.0,0.00,2.00,463.66,31,1.0,0,1.0,0.026295436968290797,0,1.0,0.052902772358113186
100000023958153315,100000023958153314,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Avocado,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121421,100000005573121420,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Salmon,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121419,100000005573121418,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Paris Ham,,18.99,1.0,0.029411764705882353,18.99,0.040780827212988015,1.0,18.99,0.0,0.00,0.00,18.99,1,0.03225806451612903,0.029411764705882353,0.029411764705882353,7.733952049497294E-4,0.04095673553897252,0.04095673553897252,0.0021667248567497073
100000005573121423,100000005573121422,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Spinach,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121427,100000005573121426,100000005573120702,BREAKFAST,BREAKFAST,,Omelette,,16.356666666666666,15.0,0.4411764705882353,245.35,0.5268865696001374,15.0,245.35,0.0,0.00,0.85,244.50,14,0.45161290322580644,0.4411764705882353,0.4411764705882353,0.01160092807424594,0.527326057887245,0.527326057887245,0.027897010398910137
100000005573121429,100000005573121428,100000005573120702,BREAKFAST,BREAKFAST,,Egg White Omelette,,14.99,3.0,0.08823529411764706,44.97,0.09657260662285787,3.0,44.97,0.0,0.00,0.75,44.22,3,0.0967741935483871,0.08823529411764706,0.08823529411764706,0.002320185614849188,0.09537160850623301,0.09537160850623301,0.005045422494232336
100000012030911148,100000012030911147,100000005573120702,BREAKFAST,BREAKFAST,,Egg White Omelette Vegetarian,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000012030810797,100000012030810796,100000005573120702,BREAKFAST,BREAKFAST,,Vegetarian Omelette,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121431,100000005573121430,100000005573120702,BREAKFAST,BREAKFAST,,Scrambled Eggs,,14.99,2.0,0.058823529411764705,29.98,0.06438173774857192,2.0,29.98,0.0,0.00,0.00,29.98,2,0.06451612903225806,0.058823529411764705,0.058823529411764705,0.0015467904098994587,0.0646594487339861,0.0646594487339861,0.003420664097175157
100000005573121425,100000005573121424,100000005573120702,BREAKFAST,BREAKFAST,,Fried Eggs,,13.99,2.0,0.058823529411764705,27.98,0.06008675857922089,2.0,27.98,0.0,0.00,0.00,27.98,2,0.06451612903225806,0.058823529411764705,0.058823529411764705,0.0015467904098994587,0.06034594314799637,0.06034594314799637,0.0031924676930940926
100000018689836918,100000018689836917,100000005573120702,BREAKFAST,BREAKFAST,,Custom Croissant - Made Your Way !,,9.156666666666666,3.0,0.08823529411764706,27.47,0.05899153889103637,3.0,27.47,0.0,0.00,0.00,27.47,3,0.0967741935483871,0.08823529411764706,0.08823529411764706,0.002320185614849188,0.05924599922356899,0.05924599922356899,0.003134277610053421
100000005573121411,100000005573121410,100000005573120702,BREAKFAST,BREAKFAST,,Ham & Cheese Croissant,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121417,100000005573121416,100000005573120702,BREAKFAST,BREAKFAST,,"Ham, Egg & Cheese Croissant",,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000031526346544,100000031526346543,100000005573120702,BREAKFAST,BREAKFAST,,"Sausage,  Egg & Cheese Waffle Sandwich",,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000030796419457,100000030796419456,100000005573120702,BREAKFAST,BREAKFAST,,Bacon & Egg Waffle Sandwich,,12.99,1.0,0.029411764705882353,12.99,0.02789588970493493,1.0,12.99,0.0,0.00,0.00,12.99,1,0.03225806451612903,0.029411764705882353,0.029411764705882353,7.733952049497294E-4,0.02801621878100332,0.02801621878100332,0.001482135644506514
